S.No,Chipset SP,Customer,PDM Name
1, SDM660.LA.3.0.2.c25,A,1
2,SDM660.LA.4.0.c25,B,2
3,APQ8053.LE.1.3.c25,C ,3
4,QCM4290.LA.1.0.1.c25,"A,C",4
5,QCS610.LE.1.0.c25,"D,E",5
6,MSM8953.LA.3.2.2.c25,H,6
7,SDM660.LA.3.0.1.c27,"A,C",8
8,MSM8953.LA.3.1.1.C26,H,7
9,SDM660.LA.4.0.c27,B,1
10,QCS610.LA.1.0.C25,"C,D",2
11,QCS605.LE.1.0.c25,A,3
12,SDM845.LA.2.0.3.C25,"A,B",4
13,QCM4290.LA.2.0.C25,A,5
14,SDM660.LA.6.0.C26,B,6
15,APQ8053.LE.1.3.c26,C,8
16,SDM660.LA.6.0.c25,"A,C",7
17,SDM660.LA.3.0.c27,"D,E",1
18,SDM660.LA.5.0.c25,H,2
19,QCM4290.LA.1.0.1.c26,"A,C",3
20,SDM845.LA.2.0.1.c25,H,4
21,SDM660.LA.2.1.C25,B,5
22,SDM660.LA.3.0.C25,"C,D",6
23,QCM6490.LA.1.0.c26,A,8
24,APQ8098.LA.2.0.2,"A,B",7
25,SDM660.LA.6.0.C27,"C,B,D,A",1
26,QCS605.LA.2.3.c25,"Q,L",2
27,SDM660.LA.4.0.c26,P,3
28,SDM660.LA.3.0.2.c28,S,4
29,QCS4290.LA.3.0.c25,L,5
30,QCM4290.LA.3.0.c26,"Q,L",6
31,SDM429W.LAW.3.0.0.1,M,8
32,MSM8909w.LAW.3.0.0.1,"N,M",7
33,SW5100.LAW.1.1,"A,M",1
34,SDM450.LA.3.2.2.c30,"Q,A",4
35,Kamorta.LA.1.0.c25,"C,M",5
36,QM215.LA.3.2.2.1.c31,"N,K",6
37,MSM8998.LA.2.0.3.C25,K,8
38,QM215.LA.3.2.3.C27,M,7
39,SDM660.LA.3.0.3.c21,N,1
40,Mannar.LA.1.0.1.c25,"O,P",2
41,Kamorta.LA.2.0.C25,"Q,A",3
42,SXR1130.LA.2.1.1.C25,"C,M",4
43,Kamorta.LA.2.0,"N,K",5
44,SXR2130P.LA.1.0.1.C25,"Q,A",4
45,MSM8998.LA.1.1.C25,"C,M",5
46,MSM8909.LA.3.1.1.c24,"N,K",6
47,Kamorta.LA.2.0.C26,K,8
48,SDM450.LA.3.2.4.C25,M,7
49,SDM670.LA.2.1.1.c26,N,1
50,SDM450.LA.3.2.4.C26,"O,P",2
51,Arrax.LA.1.0.C25,"Q,A",3
52,Kamorta.LA.2.0.C27,"C,M",4
53,Kamorta.LA.2.0.1.C25,"N,K",5
54,QCM6125.LA.1.1.c25,"Q,P",6
